UWI,MD,Inc,Az,eoff,noff,tvd,ss,,KB = ,824
100/01-07-013-18W4/00,0,0,0,0.21,-0.01,0,824,,,
100/01-07-013-18W4/00,5,0,0,0.21,-0.01,5,819,,,
100/01-07-013-18W4/00,255,0,0,0.21,-0.01,255,569,,,
100/01-07-013-18W4/00,270.81,1.54,315.52,0.06,0.1,270.81,553.19,,,
100/01-07-013-18W4/00,289.8,1.58,309.89,-0.29,0.44,289.79,534.21,,,
100/01-07-013-18W4/00,308.76,1.41,297.94,-0.72,0.77,308.74,515.26,,,
100/01-07-013-18W4/00,327.72,1.41,297.06,-1.15,0.99,327.7,496.3,,,
100/01-07-013-18W4/00,346.54,1.67,296.53,-1.58,1.22,346.51,477.49,,,
100/01-07-013-18W4/00,365.14,1.54,293.72,-2.08,1.44,365.1,458.9,,,
100/01-07-013-18W4/00,384.03,1.63,295.04,-2.51,1.66,383.99,440.01,,,
100/01-07-013-18W4/00,402.5,1.49,288.62,-3.01,1.88,402.45,421.55,,,
100/01-07-013-18W4/00,421.38,0.13,288.36,-3.23,1.99,421.33,402.67,,,
100/01-07-013-18W4/00,440.35,0.44,129.54,-3.23,1.88,440.3,383.7,,,
100/01-07-013-18W4/00,459.21,0.18,65.38,-3.16,1.88,459.16,364.84,,,
100/01-07-013-18W4/00,478.25,0.26,192.29,-3.09,1.88,478.2,345.8,,,
100/01-07-013-18W4/00,497.09,0.18,134.55,-3.09,1.77,497.04,326.96,,,
100/01-07-013-18W4/00,516.08,0.04,128.66,-3.09,1.77,516.03,307.97,,,
100/01-07-013-18W4/00,534.78,0.44,161.53,-3.09,1.66,534.73,289.27,,,
100/01-07-013-18W4/00,553.47,0.62,174.28,-3.01,1.55,553.42,270.58,,,
100/01-07-013-18W4/00,572.71,0.66,189.04,-3.01,1.33,572.66,251.34,,,
100/01-07-013-18W4/00,591.62,0.62,101.24,-2.94,1.22,591.56,232.44,,,
100/01-07-013-18W4/00,600,1.52,86.49,-2.8,1.22,599.94,224.06,,,
100/01-07-013-18W4/00,607,2.3,83.2,-2.58,1.22,606.94,217.06,,,
100/01-07-013-18W4/00,610.11,2.64,82.34,-2.44,1.22,610.05,213.95,,,
100/01-07-013-18W4/00,619.68,3.38,79.09,-1.94,1.33,619.6,204.4,,,
100/01-07-013-18W4/00,628.87,3.03,80.94,-1.44,1.33,628.78,195.22,,,
100/01-07-013-18W4/00,638.25,3.74,69.69,-0.87,1.55,638.14,185.86,,,
100/01-07-013-18W4/00,647.41,4.31,60.28,-0.29,1.77,647.28,176.72,,,
100/01-07-013-18W4/00,657.01,5.54,47.01,0.35,2.33,656.84,167.16,,,
100/01-07-013-18W4/00,666.17,6.95,43.41,1.07,3,665.95,158.05,,,
100/01-07-013-18W4/00,675.77,7.16,43.14,1.85,3.88,675.48,148.52,,,
100/01-07-013-18W4/00,685.43,8.18,49.21,2.78,4.77,685.05,138.95,,,
100/01-07-013-18W4/00,694.84,9.98,50.61,3.93,5.66,694.34,129.66,,,
100/01-07-013-18W4/00,704.49,12.22,49.47,5.36,6.89,703.81,120.19,,,
100/01-07-013-18W4/00,713.74,14.37,50.26,6.94,8.22,712.81,111.19,,,
100/01-07-013-18W4/00,722.83,15.96,51.58,8.8,9.78,721.59,102.41,,,
100/01-07-013-18W4/00,732.13,17.27,55.89,10.95,11.33,730.5,93.5,,,
100/01-07-013-18W4/00,741.72,17.89,60.11,13.38,12.89,739.64,84.36,,,
100/01-07-013-18W4/00,751.05,18.99,65.55,16.03,14.23,748.49,75.51,,,
100/01-07-013-18W4/00,760.66,21.01,66.08,19.04,15.56,757.52,66.48,,,
100/01-07-013-18W4/00,770.27,23.08,65.91,22.33,17,766.43,57.57,,,
100/01-07-013-18W4/00,779.91,25.05,64.94,25.91,18.67,775.23,48.77,,,
100/01-07-013-18W4/00,789.58,26.46,62.39,29.63,20.56,783.94,40.06,,,
100/01-07-013-18W4/00,798.84,27.38,59.93,33.29,22.56,792.2,31.8,,,
100/01-07-013-18W4/00,808.32,28.62,59.93,37.15,24.79,800.57,23.43,,,
100/01-07-013-18W4/00,817.57,30.46,59.49,41.09,27.01,808.61,15.39,,,
100/01-07-013-18W4/00,826.72,32.18,59.4,45.17,29.46,816.43,7.57,,,
100/01-07-013-18W4/00,836.31,33.49,60.37,49.68,32.13,824.49,-0.49,,,
100/01-07-013-18W4/00,845.79,35.25,60.28,54.33,34.79,832.31,-8.31,,,
100/01-07-013-18W4/00,855.04,36.53,60.72,59.06,37.46,839.81,-15.81,,,
100/01-07-013-18W4/00,864.29,37.85,59.84,63.93,40.13,847.18,-23.18,,,
100/01-07-013-18W4/00,873.55,39.08,58.52,68.87,43.13,854.43,-30.43,,,
100/01-07-013-18W4/00,882.71,39.87,58.35,73.81,46.14,861.5,-37.5,,,
100/01-07-013-18W4/00,892.18,40.92,58.44,79.03,49.36,868.71,-44.71,,,
100/01-07-013-18W4/00,901.62,41.85,59.05,84.4,52.58,875.79,-51.79,,,
100/01-07-013-18W4/00,911.32,42.42,59.31,89.99,55.92,882.98,-58.98,,,
100/01-07-013-18W4/00,921,43.6,59.05,95.64,59.37,890.06,-66.06,,,
100/01-07-013-18W4/00,930.28,43.82,60.28,101.16,62.59,896.77,-72.77,,,
100/01-07-013-18W4/00,939.53,44.66,60.63,106.81,65.7,903.4,-79.4,,,
100/01-07-013-18W4/00,948.85,45.36,60.11,112.54,69.04,909.99,-85.99,,,
100/01-07-013-18W4/00,958.22,45.67,60.72,118.34,72.27,916.55,-92.55,,,
100/01-07-013-18W4/00,967.46,46.64,61.86,124.14,75.49,922.95,-98.95,,,
100/01-07-013-18W4/00,976.96,48.18,62.83,130.37,78.71,929.38,-105.38,,,
100/01-07-013-18W4/00,986.5,49.36,63.09,136.74,82.05,935.67,-111.67,,,
100/01-07-013-18W4/00,996.14,49.98,62.48,143.26,85.39,941.91,-117.91,,,
100/01-07-013-18W4/00,1005.79,50.99,62.39,149.84,88.83,948.05,-124.05,,,
100/01-07-013-18W4/00,1015.41,52.31,62.74,156.57,92.28,954.02,-130.02,,,
100/01-07-013-18W4/00,1025.05,53.93,62.92,163.45,95.84,959.8,-135.8,,,
100/01-07-013-18W4/00,1034.68,55.74,63.27,170.46,99.4,965.35,-141.35,,,
100/01-07-013-18W4/00,1044.22,56.84,63.97,177.55,102.95,970.64,-146.64,,,
100/01-07-013-18W4/00,1053.87,58.64,63.8,184.85,106.51,975.79,-151.79,,,
100/01-07-013-18W4/00,1063.53,60.48,63.62,192.37,110.18,980.69,-156.69,,,
100/01-07-013-18W4/00,1073.07,61.8,63.53,199.81,113.96,985.29,-161.29,,,
100/01-07-013-18W4/00,1082.63,62.24,63.8,207.4,117.63,989.78,-165.78,,,
100/01-07-013-18W4/00,1092.21,63.12,64.76,215.06,121.3,994.17,-170.17,,,
100/01-07-013-18W4/00,1101.89,63.96,65.29,222.94,124.97,998.49,-174.49,,,
100/01-07-013-18W4/00,1111.55,65.32,65.91,230.89,128.64,1002.62,-178.62,,,
100/01-07-013-18W4/00,1121.16,66.59,66.43,238.91,132.2,1006.54,-182.54,,,
100/01-07-013-18W4/00,1130.66,67.91,67.49,246.92,135.53,1010.21,-186.21,,,
100/01-07-013-18W4/00,1140.21,69.76,68.1,255.23,138.98,1013.66,-189.66,,,
100/01-07-013-18W4/00,1149.73,71.65,69.25,263.53,142.21,1016.81,-192.81,,,
100/01-07-013-18W4/00,1159.17,73.19,69.95,271.98,145.32,1019.66,-195.66,,,
100/01-07-013-18W4/00,1168.6,74.64,70.56,280.5,148.43,1022.27,-198.27,,,
100/01-07-013-18W4/00,1178.1,75.74,71.44,289.16,151.44,1024.7,-200.7,,,
100/01-07-013-18W4/00,1187.64,75.74,71.71,297.97,154.33,1027.05,-203.05,,,
100/01-07-013-18W4/00,1197.13,77.23,71.27,306.7,157.22,1029.27,-205.27,,,
100/01-07-013-18W4/00,1206.63,77.54,71.62,315.51,160.22,1031.34,-207.34,,,
100/01-07-013-18W4/00,1216.16,79.16,71.71,324.32,163.11,1033.27,-209.27,,,
100/01-07-013-18W4/00,1225.63,79.96,71.36,333.19,166.11,1034.98,-210.98,,,
100/01-07-013-18W4/00,1235.09,81.89,71.53,342,169.12,1036.47,-212.47,,,
100/01-07-013-18W4/00,1244.66,82.77,71.71,351.02,172.01,1037.75,-213.75,,,
100/01-07-013-18W4/00,1254.18,84.04,71.88,359.97,175.01,1038.85,-214.85,,,
100/01-07-013-18W4/00,1263.71,84.57,71.71,368.99,178.01,1039.79,-215.79,,,
100/01-07-013-18W4/00,1273.33,85.89,71.88,378.08,180.91,1040.59,-216.59,,,
100/01-07-013-18W4/00,1287,87.08,71.88,391.11,185.24,1041.43,-217.43,,,
100/01-07-013-18W4/00,1303,88.95,74.03,406.36,189.91,1041.98,-217.98,,,
100/01-07-013-18W4/00,1308.02,89.54,74.7,411.16,191.25,1042.05,-218.05,,,
