UWI,EW Offset,NS Offset,Measured Depth,TVD,subsea
100/01-07-013-18W4/00,0,0,0,0,824
100010701318w400,0,0,30,30,794
100010701318w400,0,0,60,60,764
100010701318w400,0,0,90,90,734
100010701318w400,0,0,120,120,704
100010701318w400,0,0,150,150,674
100010701318w400,0,0,180,180,644
100010701318w400,0,0,210,210,614
100010701318w400,0,0,240,240,584
100010701318w400,0,0,264,264,560
100010701318w400,0,0,270,270,554
100010701318w400,0,0,300,300,524
100010701318w400,0,0,313.2,313.2,510.8
100010701318w400,0,0,330,330,494
100010701318w400,0,0,360,360,464
100010701318w400,0,0,390,390,434
100010701318w400,0,0,420,420,404
100010701318w400,0,0,430.3,430.3,393.7
100010701318w400,0,0,450,450,374
100010701318w400,0,0,478.9,478.9,345.1
100010701318w400,0,0,480,480,344
100010701318w400,0,0,510,510,314
100010701318w400,0,0,540,540,284
100010701318w400,0,0,570,570,254
100010701318w400,0,0,599,599,225
100010701318w400,0,0,600,600,224
100010701318w400,0.94,0.57,630,629.97,194.03
100010701318w400,3.63,2.2,660,659.8,164.2
100010701318w400,8.05,4.89,690,689.35,134.65
100010701318w400,13.87,8.43,718.58,717.1,106.9
100010701318w400,14.19,8.63,720,718.47,105.53
100010701318w400,22.03,13.39,750,747.02,76.98
100010701318w400,31.52,19.16,780,774.89,49.11
100010701318w400,38.14,23.18,798.43,791.6,32.4
100010701318w400,42.61,25.9,810,801.92,22.08
100010701318w400,49.04,29.81,825.7,815.7,8.3
100010701318w400,55.26,33.59,840,828.01,-4.01
100010701318w400,69.41,42.19,870,853.02,-29.02
100010701318w400,78.94,47.98,888.68,867.99,-43.99
100010701318w400,85,51.61,900,876.84,-52.84
100010701318w400,102.17,61.39,930,899.4,-75.4
100010701318w400,120.87,71.35,960,920.63,-96.63
100010701318w400,121.9,71.88,961.58,921.7,-97.7
100010701318w400,139.83,80.87,988.28,939.31,-115.31
100010701318w400,141.03,81.45,990,940.4,-116.4
100010701318w400,148.69,85.15,1000.9,947.21,-123.21
100010701318w400,162.54,91.65,1020,958.63,-134.63
100010701318w400,171.01,95.52,1031.34,965.1,-141.1
100010701318w400,185.32,101.89,1050,975.24,-151.24
100010701318w400,189.48,103.71,1055.32,978,-154
100010701318w400,209.24,112.13,1080,990.14,-166.14
100010701318w400,217.44,115.53,1089.98,994.7,-170.7
100010701318w400,234.2,122.33,1110,1003.27,-179.27
100010701318w400,260.08,132.42,1140,1014.56,-190.56
100010701318w400,286.76,142.37,1170,1023.96,-199.96
